TYPE,COLLECTION,CONTAINER ID,NAME,SAMPLE DURATION IN SECONDS,CUMULATIVE VALUE,MIN VALUE,MAX VALUE,AVE VALUE
CPU SECONDS,/dev/sneaky,bc1abd880e77,sneaky1.1.3b09xmyaoy4niw29xd0h004ig,480.000000,273.107326,0.000000,0.000000,0.000000
CPU SECONDS,/prod,b146e7f333c5,prodweb1.1.ec0hf2beeq2kvcm7mspeb8ucg,3600.000000,0.000000,0.000000,0.000000,0.000000
CPU SECONDS,/stage,a2be9547a45d,builder.1.5ogkqbu7lrq49xbetfxawocdj,2640.000000,0.000000,0.000000,0.000000,0.000000
CPU SECONDS,/stage,e01c601c518f,builder.1.mm39xsyro9scyoo5rbb11nypk,1200.000000,-8.230661,0.000000,0.000000,0.000000
MEM MB,/dev/sneaky,bc1abd880e77,sneaky1.1.3b09xmyaoy4niw29xd0h004ig,480.000000,0.000000,145.011719,145.023438,145.019965
MEM MB,/prod,b146e7f333c5,prodweb1.1.ec0hf2beeq2kvcm7mspeb8ucg,3600.000000,0.000000,1.410156,1.410156,1.410156
MEM MB,/stage,a2be9547a45d,builder.1.5ogkqbu7lrq49xbetfxawocdj,2640.000000,0.000000,0.132812,0.132812,0.132812
MEM MB,/stage,e01c601c518f,builder.1.mm39xsyro9scyoo5rbb11nypk,1200.000000,0.000000,0.000000,315.710938,199.095129
NETWORK RX MB,/dev/sneaky,bc1abd880e77,sneaky1.1.3b09xmyaoy4niw29xd0h004ig,480.000000,0.001236,0.000000,0.000000,0.000000
NETWORK RX MB,/prod,b146e7f333c5,prodweb1.1.ec0hf2beeq2kvcm7mspeb8ucg,3600.000000,0.000000,0.000000,0.000000,0.000000
NETWORK RX MB,/prod,b146e7f333c5,prodweb1.1.ec0hf2beeq2kvcm7mspeb8ucg,3600.000000,0.000000,0.000000,0.000000,0.000000
NETWORK RX MB,/stage,a2be9547a45d,builder.1.5ogkqbu7lrq49xbetfxawocdj,2640.000000,0.000000,0.000000,0.000000,0.000000
NETWORK RX MB,/stage,e01c601c518f,builder.1.mm39xsyro9scyoo5rbb11nypk,600.000000,0.000441,0.000000,0.000000,0.000000
NETWORK TX MB,/dev/sneaky,bc1abd880e77,sneaky1.1.3b09xmyaoy4niw29xd0h004ig,480.000000,0.000349,0.000000,0.000000,0.000000
NETWORK TX MB,/prod,b146e7f333c5,prodweb1.1.ec0hf2beeq2kvcm7mspeb8ucg,3600.000000,0.000000,0.000000,0.000000,0.000000
NETWORK TX MB,/prod,b146e7f333c5,prodweb1.1.ec0hf2beeq2kvcm7mspeb8ucg,3600.000000,0.000000,0.000000,0.000000,0.000000
NETWORK TX MB,/stage,a2be9547a45d,builder.1.5ogkqbu7lrq49xbetfxawocdj,2640.000000,0.000000,0.000000,0.000000,0.000000
NETWORK TX MB,/stage,e01c601c518f,builder.1.mm39xsyro9scyoo5rbb11nypk,600.000000,0.000000,0.000000,0.000000,0.000000
VOLUME MB,/stage,,192.168.122.105:12376/bunchostuff,300.000000,0.000000,529.484172,529.484172,529.484172
VOLUME MB,/stage,,192.168.122.84:12376/bunchostuff,300.000000,0.000000,0.000000,0.000000,0.000000
CONTAINER STORAGE MB,/prod,1b796bcb6121,prodweb1.1.spvds422f0hvs9c4s183skkne,300.000000,0.000000,0.000002,0.000002,0.000002
CONTAINER STORAGE MB,/prod,b146e7f333c5,prodweb1.1.ec0hf2beeq2kvcm7mspeb8ucg,300.000000,0.000000,0.000002,0.000002,0.000002
CONTAINER STORAGE MB,/stage,a2be9547a45d,builder.1.5ogkqbu7lrq49xbetfxawocdj,300.000000,0.000000,0.000000,0.000000,0.000000
CONTAINER STORAGE MB,/stage,e01c601c518f,builder.1.mm39xsyro9scyoo5rbb11nypk,300.000000,0.000000,278.255743,278.255743,278.255743
